student_id,student_name,gender,age,department,semester,city,family_income_group,attendance_percentage,login_count,hours_studied_online,videos_watched,assignments_submitted,quiz_attempts,discussion_posts,ai_tool_usage_count,subject,internal_marks,practical_marks,final_exam_marks,total_marks,grade,cgpa,technical_skill_score,aptitude_score,communication_score,interview_score,internship_completed,placement_status,package_lpa,performance_label
100001,Student_100001,Other,25,ECE,6,Pune,Upper Middle,71.17,43,69.54,27,8,11,6,6,Deep Learning,32.43,19.15,78.16,76.17,A,7.28,76.28,81.52,81.62,85.51,No,Not Placed,0,Good
100002,Student_100002,Male,24,Cyber Security,8,Nashik,High,83.19,37,75.73,22,8,15,7,9,Deep Learning,34.5,20.84,63.78,71.65,A,6.99,89.0,51.51,76.06,,No,Placed,9.1,Good
100003,Student_100003,Other,22,Cyber Security,7,Thane,Middle,46.45,20,0,9,7,2,0,2,Statistics,2.29,0.56,33.05,18.62,C,2.27,4.28,7.84,36.18,0,No,Not Placed,0,Poor
100004,Student_100004,Other,18,Data Science,6,Nashik,Low,57.37,28,0,,7,9,2,1,NLP,1.1,0.77,21.53,12.11,C,1.38,0,0.64,42.6,14.87,No,Not Placed,0,Poor
100005,Student_100005,Male,19,Cyber Security,1,Satara,High,50.52,27,49.6,10,5,7,1,5,Deep Learning,30.13,22.75,50.03,62.78,B,6.42,52.9,55.97,16.57,27.31,No,Not Placed,45,Average
100006,Student_100006,Other,22,Cyber Security,7,,Lower Middle,70.98,26,59.75,19,4,6,3,6,Statistics,32.72,15.08,59.32,64.25,B,6.64,60.32,80.67,59.43,79.45,No,Not Placed,0,Average
100007,Student_100007,Female,21,ECE,2,Nagpur,Upper Middle,81.01,58,59.34,27,12,13,10,12,Apache Spark,15.5,10.57,58.34,47.84,C,4.63,19.72,28.51,83.96,57.86,Yes,Not Placed,0,Poor
100008,Student_100008,Male,24,Data Science,3,Kolhapur,Lower Middle,79.32,24,53.12,15,9,12,7,8,Deep Learning,33.4,20.38,78.16,77.72,A,7.15,78.2,84.56,77.79,60.99,Yes,Placed,7.55,Good
100009,Student_100009,Female,21,AIML,5,Nagpur,High,78.56,40,47.32,19,6,10,4,7,Big Data,37.94,29.55,94.08,95.2,A+,9.67,81.94,92.73,66.54,53.86,Yes,Placed,12.31,Excellent
100010,Student_100010,Male,18,IT,5,Nashik,Low,77.44,29,38.95,18,11,11,6,6,Apache Spark,17.85,22.86,75.13,66.19,B,6.42,57.2,60.4,43.88,46.81,Yes,Not Placed,0,Average
100011,Student_100011,Female,22,Data Science,1,Thane,Upper Middle,73.02,26,58.43,19,9,8,3,4,Apache Spark,,21.09,71.18,74.14,A,7.69,84.92,56.38,46.61,34.03,No,Not Placed,0,Good
100012,Student_100012,Female,18,IT,3,Kolhapur,Upper Middle,70.02,28,0,13,8,7,2,5,NLP,7.34,20.98,41.16,40.07,C,4.07,17.57,35.27,49.01,0,No,Not Placed,0,Poor
100013,Student_100013,Other,22,Data Science,6,Mumbai,Low,63.7,13,41.42,11,3,5,4,0,Big Data,22.48,19.04,47.42,53.26,C,5.26,55.97,53.99,33.93,34.87,No,Not Placed,0,Poor
100014,Student_100014,Other,22,CSE,3,Thane,Upper Middle,56.84,0,0,10,1,0,2,0,Machine Learning,17.84,17.8,42.37,46.43,C,4.71,52.88,45.9,12.25,4.85,No,Not Placed,0,Poor
